"id","age","sex","education","nfc01","nfc02","nfc03","nfc04","nfc05","nfc06","nfc07","nfc08","nfc09","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","action_orientation","effortful_control","self_control"
1,26,"Male","Abitur",5,7,5,1,6,2,2,5,2,1,2,2,6,5,2,1,10,11,5
4,19,"Female","Abitur",5,5,3,2,5,3,3,3,2,4,3,2,3,2,4,4,11,32,16
7,23,"Female","Abitur",5,6,5,1,7,3,2,3,1,3,3,1,6,5,1,1,13,10,-2
8,24,"Female","Abitur",5,5,4,2,5,5,2,2,2,2,4,3,2,3,1,1,5,0,-4
11,24,"Female","Abitur",2,3,3,5,3,5,6,1,6,6,6,6,2,1,5,5,18,10,11
12,20,"Female","Abitur",6,6,6,1,6,3,1,1,1,1,1,1,6,6,2,2,20,24,11
15,25,"Female","Abitur",3,4,4,1,6,5,3,2,3,3,1,1,3,3,1,2,6,-3,-4
16,27,"Female","Abitur",7,4,5,6,6,3,1,2,2,2,1,1,4,4,2,2,16,2,3
21,21,"Male","Abitur",7,5,3,1,6,6,1,2,1,2,1,1,6,4,2,2,12,-6,-10
23,25,"Male","Abitur",6,7,7,1,7,2,1,2,1,2,1,1,5,5,1,2,8,21,5
24,25,"Male","Abitur",3,4,4,2,4,4,4,6,2,4,4,3,1,1,6,6,9,12,5
25,22,"Female","Abitur",4,4,3,5,5,3,3,4,2,7,4,5,2,2,2,3,11,17,0
27,19,"Female","Abitur",4,4,5,5,6,4,3,4,2,3,4,4,4,4,3,2,10,12,3
28,29,"Male","Abitur",5,5,4,3,5,3,3,4,3,3,4,3,4,4,4,3,7,-24,-10
29,23,"Male","Abitur",6,5,7,2,7,4,1,2,1,3,1,2,3,4,1,3,6,-11,-9
32,26,"Male","Abitur",4,6,4,6,5,2,4,4,2,2,7,4,1,4,2,3,11,-18,-13
33,30,"Female","Abitur",5,5,5,2,5,4,2,5,4,5,4,5,4,3,2,2,15,0,-2
35,21,"Female","Abitur",6,6,4,2,7,2,1,3,3,3,2,1,5,5,2,2,18,17,-8
36,21,"Female","Abitur",6,5,4,2,7,4,3,5,2,2,1,2,4,3,1,1,13,0,-5
38,29,"Male","Abitur",5,4,5,6,5,6,3,2,3,2,4,2,5,6,3,3,13,14,-5
40,23,"Female","Abitur",5,4,3,4,5,3,3,4,2,2,2,2,3,2,3,1,7,19,4
43,21,"Female","Abitur",7,5,3,1,7,4,1,2,1,1,1,1,6,4,3,3,10,-3,3
44,28,"Female","Abitur",6,4,4,2,5,3,3,4,4,4,3,2,3,3,3,2,6,9,5
46,24,"Male","Abitur",7,5,5,1,6,2,2,2,1,5,2,3,5,2,1,1,11,-9,-9
49,28,"Male","Abitur",6,4,2,1,7,7,5,2,1,7,2,4,1,3,3,2,12,8,-7
50,21,"Female","Abitur",7,4,5,6,7,1,5,3,1,1,3,5,6,5,4,7,14,13,2
51,30,"Female","Abitur",5,6,7,1,7,6,6,2,1,1,2,1,6,5,3,2,13,11,0
53,26,"Female","Abitur",6,6,6,2,6,2,2,2,2,2,2,5,5,4,2,2,8,9,5
55,23,"Female","Abitur",7,7,2,1,7,1,1,2,1,1,1,1,6,5,1,2,8,24,9
56,24,"Female","Abitur",6,7,5,1,7,2,1,1,1,2,1,1,7,6,1,1,7,25,4
58,20,"Female","Abitur",6,3,4,2,7,2,2,2,1,3,3,2,4,2,3,3,9,11,11
59,29,"Male","Abitur",5,5,6,2,7,3,3,5,6,6,2,2,3,4,2,3,10,22,1
60,25,"Female","Abitur",6,7,6,1,7,2,1,1,1,1,1,1,6,5,2,2,14,21,15
61,22,"Female","Abitur",5,5,2,2,6,4,4,3,3,3,4,5,2,2,5,2,9,-15,-16
64,20,"Female","Abitur",5,5,3,4,6,5,2,1,4,3,4,2,3,5,1,1,8,1,-2
65,27,"Female","Abitur",2,1,2,2,1,3,6,6,7,6,6,6,2,4,7,7,12,15,6
67,32,"Female","Abitur",5,5,3,4,6,2,2,3,1,3,3,1,4,4,1,1,13,-4,-17
68,30,"Female","Abitur",6,6,4,2,5,3,3,4,1,4,3,1,5,4,2,2,5,18,-2
69,20,"Female","Abitur",6,6,7,1,7,3,2,4,3,3,3,1,5,4,1,1,8,14,-2
70,23,"Male","Abitur",6,6,5,1,7,4,2,1,4,2,2,1,5,5,2,2,8,5,4
71,24,"Male","Abitur",6,6,5,1,7,6,6,4,1,3,4,5,2,1,3,2,11,13,-3
74,27,"Female","Abitur",5,5,2,6,4,2,3,6,2,5,5,2,2,1,2,3,7,-12,-6
76,28,"Female","Abitur",7,6,4,1,7,3,1,2,1,1,2,1,6,4,1,1,9,15,8
77,24,"Male","Abitur",5,5,3,2,6,4,4,4,3,4,4,3,4,3,4,4,4,13,-7
78,29,"Female","Abitur",5,6,7,1,7,2,1,2,1,1,2,3,2,4,1,1,5,3,0
79,19,"Male","Abitur",5,6,5,1,7,7,4,6,6,3,4,2,6,6,1,3,9,2,-15
80,26,"Female","Abitur",7,7,7,1,7,1,1,1,1,1,1,2,5,5,1,1,7,21,11
